,Unnamed: 0,縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,戶數,人口數,男性人口數,女性人口數,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,幼年人口(0~14),青年人口(15~24),壯年人口(25~44),中年人口(45~64),老年人口(65~),資料時間
0,0,65000,新北市,65000010,板橋區,65000010-001,留侯里,685,1636,774,862,89.79,2.39,25714.78,50.64,22.19,28.45,128.22,241,130,461,495,309,111Y09M
1,1,65000,新北市,65000010,板橋區,65000010-002,流芳里,624,1452,655,797,82.18,2.33,32589.67,55.29,24.39,30.91,126.75,228,116,387,432,289,111Y09M
2,2,65000,新北市,65000010,板橋區,65000010-003,赤松里,497,1058,494,564,87.59,2.13,65232.14,48.6,23.03,25.56,110.98,164,98,311,303,182,111Y09M
3,3,65000,新北市,65000010,板橋區,65000010-004,黃石里,533,1304,622,682,91.2,2.45,13060.77,60.99,32.59,28.4,87.12,264,95,385,330,230,111Y09M
4,4,65000,新北市,65000010,板橋區,65000010-005,挹秀里,838,1907,934,973,95.99,2.28,15738.09,59.45,25.5,33.95,133.11,305,143,518,535,406,111Y09M
5,5,65000,新北市,65000010,板橋區,65000010-006,湳興里,2240,5105,2433,2672,91.06,2.28,27219.84,41.73,15.57,26.15,167.91,561,454,1597,1551,942,111Y09M
6,6,65000,新北市,65000010,板橋區,65000010-007,新興里,1580,3225,1519,1706,89.04,2.04,35039.87,39.37,11.93,27.44,230.07,276,288,986,1040,635,111Y09M
7,7,65000,新北市,65000010,板橋區,65000010-008,社後里,5619,9665,5483,4182,131.11,1.72,56365.87,39.65,9.13,30.52,334.18,632,656,2685,3580,2112,111Y09M
8,8,65000,新北市,65000010,板橋區,65000010-009,香社里,1807,4489,2206,2283,96.63,2.48,16620.88,37.7,13.77,23.93,173.72,449,424,1520,1316,780,111Y09M
9,9,65000,新北市,65000010,板橋區,65000010-010,中正里,3112,6873,3348,3525,94.98,2.21,8100.85,37.05,19.42,17.63,90.76,974,566,2767,1682,884,111Y09M
10,10,65000,新北市,65000010,板橋區,65000010-011,自強里,2059,5022,2437,2585,94.27,2.44,60223.77,61.74,19.9,41.84,210.19,618,353,1444,1308,1299,111Y09M
11,11,65000,新北市,65000010,板橋區,65000010-012,自立里,1105,2746,1301,1445,90.03,2.49,55343.93,46.45,14.51,31.95,220.22,272,243,844,788,599,111Y09M
12,12,65000,新北市,65000010,板橋區,65000010-013,光華里,1118,2605,1268,1337,94.84,2.33,45218.63,45.04,14.81,30.23,204.14,266,226,771,799,543,111Y09M
13,13,65000,新北市,65000010,板橋區,65000010-014,國光里,1530,3617,1728,1889,91.48,2.36,79599.47,44.05,10.75,33.29,309.63,270,369,961,1181,836,111Y09M
14,14,65000,新北市,65000010,板橋區,65000010-015,港尾里,1111,2914,1407,1507,93.36,2.62,71182.55,42.91,19.32,23.59,122.08,394,299,873,867,481,111Y09M
15,15,65000,新北市,65000010,板橋區,65000010-016,金華里,1505,3969,1920,2049,93.7,2.64,58865.41,48.26,18.12,30.15,166.39,485,330,1272,1075,807,111Y09M
16,16,65000,新北市,65000010,板橋區,65000010-017,港德里,1916,4695,2290,2405,95.22,2.45,70078.81,48.29,15.76,32.53,206.41,499,450,1434,1282,1030,111Y09M
17,17,65000,新北市,65000010,板橋區,65000010-018,民權里,1098,2632,1272,1360,93.53,2.4,58662.27,54.37,17.48,36.89,211.07,298,209,744,752,629,111Y09M
18,18,65000,新北市,65000010,板橋區,65000010-019,建國里,1427,3502,1656,1846,89.71,2.45,53155.64,46.1,16.02,30.08,187.76,384,322,1082,993,721,111Y09M
19,19,65000,新北市,65000010,板橋區,65000010-020,漢生里,1695,4264,2054,2210,92.94,2.52,38114.99,64.32,27.59,36.72,133.1,716,307,1188,1100,953,111Y09M
20,20,65000,新北市,65000010,板橋區,65000010-021,公館里,1511,3922,1931,1991,96.99,2.6,50874.28,48.67,20.89,27.79,133.03,551,406,1102,1130,733,111Y09M
21,21,65000,新北市,65000010,板橋區,65000010-022,新民里,1740,4508,2204,2304,95.66,2.59,14760.29,57.79,27.62,30.17,109.25,789,399,1215,1243,862,111Y09M
22,22,65000,新北市,65000010,板橋區,65000010-023,幸福里,1580,4014,1933,2081,92.89,2.54,36960.65,42.9,15.49,27.41,177.01,435,383,1204,1222,770,111Y09M
23,23,65000,新北市,65000010,板橋區,65000010-024,忠誠里,1756,4311,2039,2272,89.74,2.46,33740.84,55.41,24.3,31.11,128.04,674,403,1102,1269,863,111Y09M
24,24,65000,新北市,65000010,板橋區,65000010-025,百壽里,1231,2952,1359,1593,85.31,2.4,54785.37,58.62,30.36,28.26,93.1,565,249,816,796,526,111Y09M
25,25,65000,新北市,65000010,板橋區,65000010-026,介壽里,1262,3163,1510,1653,91.35,2.51,39090.89,59.75,27.47,32.27,117.46,544,262,854,864,639,111Y09M
26,26,65000,新北市,65000010,板橋區,65000010-027,新埔里,887,2045,990,1055,93.84,2.31,33598.4,46.28,13.45,32.83,244.15,188,174,591,633,459,111Y09M
27,27,65000,新北市,65000010,板橋區,65000010-028,華江里,3234,7687,3556,4131,86.08,2.38,63961.33,50.2,28.96,21.24,73.35,1482,723,2083,2312,1087,111Y09M
28,28,65000,新北市,65000010,板橋區,65000010-029,江翠里,2166,5190,2548,2642,96.44,2.4,37802.64,40.04,14.57,25.47,174.81,540,480,1635,1591,944,111Y09M
29,29,65000,新北市,65000010,板橋區,65000010-030,純翠里,2161,5483,2607,2876,90.65,2.54,50675.61,42.16,16.33,25.82,158.1,630,483,1729,1645,996,111Y09M
30,30,65000,新北市,65000010,板橋區,65000010-031,溪頭里,3633,7902,3818,4084,93.49,2.18,10042.54,36.41,16.97,19.44,114.55,983,737,2677,2379,1126,111Y09M
31,31,65000,新北市,65000010,板橋區,65000010-032,聯翠里,1666,3682,1708,1974,86.52,2.21,55590.78,36.42,11.56,24.86,215.06,312,409,935,1355,671,111Y09M
32,32,65000,新北市,65000010,板橋區,65000010-033,宏翠里,2547,5497,2580,2917,88.45,2.16,12226.34,35.66,16.09,19.57,121.63,652,472,1892,1688,793,111Y09M
33,33,65000,新北市,65000010,板橋區,65000010-034,仁翠里,1104,2847,1394,1453,95.94,2.58,69724.73,47.59,14.98,32.61,217.65,289,247,873,809,629,111Y09M
34,34,65000,新北市,65000010,板橋區,65000010-035,新翠里,3310,8254,3888,4366,89.05,2.49,65700.34,38.75,16.46,22.29,135.44,979,870,2544,2535,1326,111Y09M
35,35,65000,新北市,65000010,板橋區,65000010-036,吉翠里,1414,3781,1836,1945,94.4,2.67,68013.38,45.31,18.26,27.06,148.21,475,322,1257,1023,704,111Y09M
36,36,65000,新北市,65000010,板橋區,65000010-037,德翠里,2722,7273,3536,3737,94.62,2.67,55084.3,33.65,16.43,17.22,104.81,894,852,2221,2369,937,111Y09M
37,37,65000,新北市,65000010,板橋區,65000010-038,滿翠里,1165,2994,1434,1560,91.92,2.57,50436.31,45.91,14.08,31.82,225.95,289,276,930,846,653,111Y09M
38,38,65000,新北市,65000010,板橋區,65000010-039,明翠里,1953,4676,2271,2405,94.43,2.39,46230.66,44.77,13.9,30.87,222.05,449,434,1368,1428,997,111Y09M
